OMIT_0030672	CAMK2G
OMIT_0030673	CAMLG
OMIT_0030674	CAMP
OMIT_0030675	CANX
OMIT_0030676	CAPG
OMIT_0030677	CAPN1
OMIT_0030678	CAPN2
OMIT_0030679	CAPN3
OMIT_0030680	CAPNS1
OMIT_0030681	CAPN6
OMIT_0030682	CAPS
OMIT_0030683	CAPZA1
OMIT_0030684	CAPZA2
OMIT_0030685	CAST
OMIT_0030686	CAPZB
OMIT_0030687	CARS
OMIT_0030688	CASP1
OMIT_0030689	CASP2
OMIT_0030690	CASP3
OMIT_0030691	CASP4
OMIT_0030692	CASP5
OMIT_0030693	CASP6
OMIT_0030694	CASP7
OMIT_0030695	CASP8
OMIT_0030696	CASP9
OMIT_0030697	CASP10
OMIT_0030698	CASQ1
OMIT_0030699	CASQ2
OMIT_0030700	CASR
OMIT_0030701	CAT
OMIT_0030702	CATR1
OMIT_0030703	CAV1
OMIT_0030704	CAV2
OMIT_0030705	CAV3
OMIT_0030706	RUNX2
OMIT_0030707	RUNX1
OMIT_0030708	RUNX1T1
OMIT_0030709	CBFA2T3
OMIT_0030710	RUNX3
OMIT_0030711	CBFB
OMIT_0030712	SERPINA6
OMIT_0030713	CBL
OMIT_0030714	CBLB
OMIT_0030715	CBLN1
OMIT_0030716	SERPINH1
OMIT_0030717	CBR1
OMIT_0030718	CBR3
OMIT_0030719	CBS
OMIT_0030720	CCA1
OMIT_0030721	CCIN
OMIT_0030722	CCAL1
OMIT_0030723	CCBL1
OMIT_0030724	CCK
OMIT_0030725	CCKAR
OMIT_0030726	CCKBR
OMIT_0030727	KRIT1
OMIT_0030728	CCNA2
OMIT_0030729	CCNB1
OMIT_0030730	CCNC
OMIT_0030731	CCND2
OMIT_0030732	CCND2P1
OMIT_0030733	CCND3
OMIT_0030734	CCND3P1
OMIT_0030735	CCNE1
OMIT_0030736	CCNF
OMIT_0030737	CCNG1
OMIT_0030738	CCNG2
OMIT_0030739	CCNH
OMIT_0030740	CCNT1
OMIT_0030741	CCNT2
OMIT_0030742	CCT
OMIT_0030743	CCT6A
OMIT_0030744	CD1A
OMIT_0030745	CD1B
OMIT_0030746	CD1C
OMIT_0030747	CD1D
OMIT_0030748	CD1E
OMIT_0030749	CD2
OMIT_0030750	CD3D
OMIT_0030751	CD3E
OMIT_0030752	CD3G
OMIT_0030753	CD247
OMIT_0030754	CD4
OMIT_0030755	CD5
OMIT_0030756	CD5L
OMIT_0030757	CD6
OMIT_0030758	CD7
OMIT_0030759	CD8A
OMIT_0030760	CD8B
OMIT_0030761	CD8BP
OMIT_0030762	CD9
OMIT_0030763	CD14
OMIT_0030764	CD19
OMIT_0030765	MS4A1
OMIT_0030766	MS4A3
OMIT_0030767	CD22
OMIT_0030768	CD24P1
OMIT_0030769	CD24P2
OMIT_0030770	CD24P3
OMIT_0030771	CD24P4
OMIT_0030772	CD27
OMIT_0030773	CD28
OMIT_0030774	CD80
OMIT_0030775	CD86
OMIT_0030776	TNFRSF8
OMIT_0030777	TNFSF8
OMIT_0030778	CD33
OMIT_0030779	SIGLEC6
OMIT_0030780	CD34
OMIT_0030781	CD36
OMIT_0030782	SCARB1
OMIT_0030783	SCARB2
OMIT_0030784	CD37
OMIT_0030785	CD38
OMIT_0030786	ENTPD1
OMIT_0030787	ENTPD2
OMIT_0030788	ENTPD6
OMIT_0030789	ENTPD3
OMIT_0030790	ENTPD5
OMIT_0030791	CD40
OMIT_0030792	CD40LG
OMIT_0030793	CD44
OMIT_0030794	CD47
OMIT_0030795	CD48
OMIT_0030796	CD53
OMIT_0030797	CD58
OMIT_0030798	CD59
OMIT_0030799	CD63
OMIT_0030800	CD68
OMIT_0030801	CD69
OMIT_0030802	CD70
OMIT_0030803	CD72
OMIT_0030804	CD74
OMIT_0030805	CD79A
OMIT_0030806	CD79B
OMIT_0030807	CD81
OMIT_0030808	ADGRE5
OMIT_0030809	CD151
OMIT_0030810	CDA
OMIT_0030811	CDAN3
OMIT_0030812	CDB2
OMIT_0030813	CDK1
OMIT_0030814	CDK11B
OMIT_0030815	LRBA
OMIT_0030816	CDC5L
OMIT_0030817	7-Sep
OMIT_0030818	CDC6
OMIT_0030819	CDC20
OMIT_0030820	CDC25A
OMIT_0030821	CDC25B
OMIT_0030822	CDC25C
OMIT_0030823	CDC27
OMIT_0030824	CDC34
OMIT_0030825	CDC42
OMIT_0030826	CDH1
OMIT_0030827	CDH2
OMIT_0030828	CDH3
OMIT_0030829	CDH4
OMIT_0030830	CDH5
OMIT_0030831	CDH6
OMIT_0030832	CDH7
OMIT_0030833	CDH8
OMIT_0030834	CDH9
OMIT_0030835	CDH10
OMIT_0030836	CDH11
OMIT_0030837	CDH12
OMIT_0030838	CDH12P2
OMIT_0030839	CDH13
OMIT_0030840	CDH15
OMIT_0030841	CDH16
OMIT_0030842	CDH17
OMIT_0030843	CDH18
OMIT_0030844	CDK2
OMIT_0030845	CDK3
OMIT_0030846	CDK4
OMIT_0030847	CDK5
OMIT_0030848	CDK6
OMIT_0030849	CDK7
OMIT_0030850	CDL2
OMIT_0030851	CDK8
OMIT_0030852	CDK9
OMIT_0030853	CDKN1A
OMIT_0030854	CDKN1B
OMIT_0030855	CDKN1C
OMIT_0030856	CDKN2A
OMIT_0030857	CDKN2B
OMIT_0030858	CDKN2C
OMIT_0030859	CDKN2D
OMIT_0030860	CDKN3
OMIT_0030861	CDO1
OMIT_0030862	CDR1
OMIT_0030863	CDR2
OMIT_0030864	CDS1
OMIT_0030865	CDSN
OMIT_0030866	CD52
OMIT_0030867	CDX1
OMIT_0030868	CDX2
OMIT_0030869	CDX4
OMIT_0030870	CLGN
OMIT_0030871	CEACAM5
OMIT_0030872	CEBPA
OMIT_0030873	CEBPB
OMIT_0030874	CEBPD
OMIT_0030875	CEBPE
OMIT_0030876	CEBPG
OMIT_0030877	CECR
OMIT_0030878	CEL
OMIT_0030879	CELP
OMIT_0030880	CENPA
OMIT_0030881	CENPB
OMIT_0030882	CENPC
OMIT_0030883	CENPCP1
OMIT_0030884	CENPE
OMIT_0030885	CENPF
OMIT_0030886	CES1
OMIT_0030887	CETN1
OMIT_0030888	CETN2
OMIT_0030889	CETN3
OMIT_0030890	CETP
OMIT_0030891	CFL1
OMIT_0030892	CFL2
OMIT_0030893	CFL1P5
OMIT_0030894	CTSC
OMIT_0030895	CFTR
OMIT_0030896	CGA
OMIT_0030897	CGB3
OMIT_0030898	CGF1
OMIT_0030899	CEACAM3
OMIT_0030900	CEACAMP5
OMIT_0030901	CEACAMP11
OMIT_0030902	CEACAM7
OMIT_0030903	CEACAM8
OMIT_0030904	CEACAM4
OMIT_0030905	CEACAMP1
OMIT_0030906	CEACAMP2
OMIT_0030907	CEACAMP3
